# z  DH  sigDH  DM  sigDM  DV  sigDV
1.684020100502512607e+00 1.698231354303236458e+03 4.267580823284096425e+01 4.752905810885529718e+03 8.353527928053858886e+01 4.012553604073038514e+03 5.779415921998005956e+01
1.695879396984924403e+00 1.689313899318227868e+03 4.229344780731517517e+01 4.772992762640672481e+03 8.366330545366541571e+01 4.026202588196284978e+03 5.781469418416088502e+01
1.707738693467336644e+00 1.680501477355684074e+03 4.190524209579735526e+01 4.792974582462155922e+03 8.378882985115771476e+01 4.039772015077008291e+03 5.782875708712044371e+01
1.719597989949748662e+00 1.671793029119310404e+03 4.151146768987003099e+01 4.812852509686480516e+03 8.391185103410442991e+01 4.053263596477866486e+03 5.783641226877423236e+01
1.731457286432160902e+00 1.663187505553650226e+03 4.111240868031246976e+01 4.832627771148360807e+03 8.403236992731879695e+01 4.066679023234492888e+03 5.783773563664328776e+01
1.743316582914572699e+00 1.654683867880614571e+03 4.070835722390292943e+01 4.852301581302393060e+03 8.415038979744366543e+01 4.080019965531022081e+03 5.783281497801051785e+01
1.755175879396984717e+00 1.646281087628556179e+03 4.029961415556200421e+01 4.871875142345110362e+03 8.426591623133742814e+01 4.093288073173864177e+03 5.782175028766211256e+01
1.767035175879396958e+00 1.637978146656382478e+03 3.988648964788273332e+01 4.891349644337353311e+03 8.437895711481338878e+01 4.106484975865398155e+03 5.780465411149975807e+01
1.778894472361808976e+00 1.629774037170322572e+03 3.946930392052053094e+01 4.910726265326878092e+03 8.448952261180089351e+01 4.119612283475303229e+03 5.778165190643822768e+01
1.790753768844220994e+00 1.621667761736196553e+03 3.904838800120288766e+01 4.930006171471147354e+03 8.459762514399096744e+01 4.132671586311552346e+03 5.775288241659395538e+01
1.802613065326633013e+00 1.613658333285395429e+03 3.862408454137398905e+01 4.949190517160220224e+03 8.470327937102506155e+01 4.145664455389262002e+03 5.771849806632052093e+01
1.814472361809045253e+00 1.605744775116234450e+03 3.819674868755458164e+01 4.968280445139687799e+03 8.480650217128159341e+01 4.158592442698476589e+03 5.767866536967439117e+01
1.826331658291457272e+00 1.597926120890086167e+03 3.776674901115852379e+01 4.987277086633594990e+03 8.490731262330959339e+01 4.171457081470128287e+03 5.763356535668108194e+01
1.838190954773869068e+00 1.590201414622861648e+03 3.733446849725108763e+01 5.006181561467289612e+03 8.500573198795530061e+01 4.184259886440343507e+03 5.758339401568098737e+01
1.850050251256281308e+00 1.582569710672234123e+03 3.690030559452144843e+01 5.024994978190145048e+03 8.510178369122318998e+01 4.197002354113185902e+03 5.752836275196216320e+01
1.861909547738693327e+00 1.575030073720472956e+03 3.646467532587330851e+01 5.043718434198101932e+03 8.519549330790962927e+01 4.209685963021464886e+03 5.746869886156990503e+01
1.873768844221105567e+00 1.567581578753394979e+03 3.602801046025840748e+01 5.062353015855986996e+03 8.528688854604293113e+01 4.222312173985789741e+03 5.740464601994339944e+01
1.885628140703517364e+00 1.560223311035130791e+03 3.559076274392918293e+01 5.080899798619557259e+03 8.537599923215975650e+01 4.234882430371387272e+03 5.733646478404527613e+01
1.897487437185929382e+00 1.552954366079868123e+03 3.515340418974486880e+01 5.099359847157224067e+03 8.546285729744568016e+01 4.247398158343458817e+03 5.726443310720950564e+01
1.909346733668341622e+00 1.545773849619869225e+03 3.471642841959110370e+01 5.117734215471423340e+03 8.554749676476302511e+01 4.259860767120258970e+03 5.718884686457060695e+01
1.921206030150753641e+00 1.538680877570145185e+03 3.428035205550762043e+01 5.136023947019585648e+03 8.562995373658594644e+01 4.272271649224009707e+03 5.711002038778203627e+01
1.933065326633165881e+00 1.531674575990153471e+03 3.384571615126272803e+01 5.154230074834666993e+03 8.571026638386049967e+01 4.284632180729789070e+03 5.702828700651166116e+01
1.944924623115577678e+00 1.524754081043027782e+03 3.341308765443220352e+01 5.172353621645215753e+03 8.578847493580327921e+01 4.296943721512668162e+03 5.694399959425947344e+01
