# z  DH  sigDH  DM  sigDM  DV  sigDV
7.405778894472361262e-01 2.833414840644470132e+03 9.192712990240767112e+01 2.667957146760965315e+03 1.178093857250671590e+02 2.462707700624203426e+03 7.723478196974630805e+01
7.504522613065326420e-01 2.815976183746394781e+03 9.151713859274801166e+01 2.695849240637669027e+03 1.181614335378710052e+02 2.485694494415454756e+03 7.746431831596606798e+01
7.603266331658291577e-01 2.798679879023798094e+03 9.109919647044986846e+01 2.723569841550592173e+03 1.185092791173004372e+02 2.508477176902282736e+03 7.769036655969784988e+01
7.702010050251256734e-01 2.781526064358593885e+03 9.067459730083888303e+01 2.751120355818798998e+03 1.188529184327920518e+02 2.531058201314968755e+03 7.791299822877510906e+01
7.800753768844221891e-01 2.764514833255200756e+03 9.024462773342307287e+01 2.778502190903751853e+03 1.191923574882715542e+02 2.553440017852163692e+03 7.813230132453371368e+01
7.899497487437187049e-01 2.747646236225746634e+03 8.981056409700138943e+01 2.805716754977947858e+03 1.195276119435242208e+02 2.575625072908844686e+03 7.834837980994485918e+01
7.998241206030152206e-01 2.730920282156387657e+03 8.937366953276179515e+01 2.832765456507146155e+03 1.198587067205446033e+02 2.597615808333307086e+03 7.856135308356266478e+01
8.096984924623115143e-01 2.714336939655057449e+03 8.893519142569203950e+01 2.859649703845988824e+03 1.201856755992077979e+02 2.619414660713007834e+03 7.877135544377600240e+01
8.195728643216080300e-01 2.697896138379503100e+03 8.849635909767087583e+01 2.886370904846838130e+03 1.205085608060908129e+02 2.641024060688594091e+03 7.897853554714616564e+01
8.294472361809045458e-01 2.681597770345427307e+03 8.805838173057226470e+01 2.912930466481623171e+03 1.208274125998049868e+02 2.662446432295730574e+03 7.918305586422090414e+01
8.393216080402010615e-01 2.665441691213670765e+03 8.762244649091194049e+01 2.939329794476506777e+03 1.211422888557765276e+02 2.683684192334022555e+03 7.938509213570260670e+01
8.491959798994975772e-01 2.649427721556362940e+03 8.718971683040356879e+01 2.965570292959152994e+03 1.214532546530252262e+02 2.704739749762619340e+03 7.958483283137169906e+01
8.590703517587939819e-01 2.633555648101847510e+03 8.676133094119158784e+01 2.991653364118395075e+03 1.217603818651436711e+02 2.725615505122029845e+03 7.978247861394824270e+01
8.689447236180904977e-01 2.617825224957280170e+03 8.633840034564381938e+01 3.017580407876086610e+03 1.220637487573643227e+02 2.746313849981357180e+03 7.997824180951882056e+01
8.788190954773870134e-01 2.602236174809381737e+03 8.592200860493331049e+01 3.043352821570914784e+03 1.223634395913187660e+02 2.766837166410657574e+03 8.017234588606967804e+01
8.886934673366834181e-01 2.586788190102468889e+03 8.551321013153702211e+01 3.068971999653959301e+03 1.226595442388384214e+02 2.787187826477659200e+03 8.036502494118988693e+01
8.985678391959799338e-01 2.571480934194351448e+03 8.511302909410554207e+01 3.094439333395776885e+03 1.229521578059172811e+02 2.807368191768563975e+03 8.055652319990407761e+01
9.084422110552763385e-01 2.556314042488487303e+03 8.472245840498706571e+01 3.119756210604776243e+03 1.232413802677548631e+02 2.827380612931860924e+03 8.074709452333033255e+01
9.183165829145728543e-01 2.541287123544284441e+03 8.434245878209692648e+01 3.144924015356671589e+03 1.235273161156134307e+02 2.847227429245313488e+03 8.093700192860494269e+01
9.281909547738693700e-01 2.526399760163439623e+03 8.397395787963917257e+01 3.169944127734776885e+03 1.238100740160637514e+02 2.866910968204831534e+03 8.112651712045966690e+01
9.380653266331658857e-01 2.511651510453699302e+03 8.361784948291828812e+01 3.194817923580914339e+03 1.240897664830487344e+02 2.886433545135196709e+03 8.131592003457410556e+01
